address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score
,,"['budgeting', 'CAD', 'construction management', 'engineer', 'film', 'hiring', 'inspection', 'laser', 'machinery', 'managing', 'mechanical', 'negotiations', 'processes', 'process improvement', 'project management', 'quality', 'simulation', 'SPC', 'strategy', 'supervision', 'system administrator', 'Paper converting equipment', 'Facility and plant modifications', 'DMF and Project Work Process', 'Written and verbal communication skills', 'AutoCAD', 'Excel']",['University of Idaho - School of Engineering'],['Bachelor of Science'],['N/A'],['N/A'],['N/A'],['Mechanical Engineering'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None]","['May 2011', 'January 2009', 'November 2005', 'November 2000', 'January 1993', 'November 1992', 'January 1984']","['Current', 'May 2011', 'January 2009', 'November 2005', 'November 2000', 'January 1993', 'November 1992']","[['project management', 'capital projects', 'engineering talent', 'venture summaries', 'hiring'], ['safe work performance', 'contract adherence', 'maintenance group', 'lubrication', 'precision maintenance work', 'sustainable PM processes', 'BOMs', 'procedure based job plans'], ['PM program', 'mechanical work standards', 'job plan library', 'CMMS', 'RCM methodology', 'CMMS system administration', 'tools development', 'PM processes'], ['laser patterning', 'lamination process', 'web handling', 'SPC strategy', 'GR&R practices', 'adhesive improvement', 'task force leadership'], ['budgeting', 'capital improvement', 'construction management', 'vendor negotiations', 'installation and startup', 'project management'], ['utilization improvement plans'], ['design engineer', 'machinery development', 'equipment layouts', 'CAD installation', 'simulation models']]","['Engineering Manager', 'Manager - Maintenance and Reliability', 'Supervisor Reliability Engineer', 'Process & Tooling Engineer', 'Converting Plant Engineer', 'Senior Converting Analyst', 'Development Designer, Mechanical Engineer, Senior Mechanical Engineer']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,,,,,,,,"https://github.com/antirez, https://leetcode.com/williamfiset",,,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.716666667
,,"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['CDAC ACTS'],['B.Tech'],['2020'],['N/A'],['N/A'],['Electronics and Telecommunication'],['BlueM Solutions'],[None],['Jun 2020'],['till date'],"[['Machine Learning', 'Python']]",['Associate Software Engineer and Analyst'],['N/A'],"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,,,,,,['AWS'],[None],"https://github.com/Narayan1006, https://leetcode.com/practice2024",['N/A'],[None],Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,Age 25 to 40 years,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",0.85
,I want to join a role where I can experiment and learn with new types of data and increase my ability to build more complex models in the future.,"['Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Software Engineering', 'Python', 'Java', 'SAP', 'C', 'C++', 'Jenkins', 'Kubernetes', 'Docker', 'Backend']",['Jawaharlal Nehru University'],['B.Tech'],['2019'],[None],[None],['Civil'],['Accenture'],[None],['Jan 2019'],['Jan 2020'],"[['SAP', 'Data Loading', 'Configuration', 'User Stories']]",['Application Development Associate'],[None],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",[None],['Google Cloud Platform'],[None],['AI on the cloud'],,,,,"https://github.com/academind, https://leetcode.com/kevin_naughton_jr",,,HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,Age 18 to 30 years,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",Human Resource Management,0.383333333
,,"['C/Python', 'R', 'STK', 'CATIA', 'ANSYS', 'LaTeX', 'SolidWorks', 'Microsoft Office', 'Microsoft Project']","['NORTMEAD HIGH SCHOOL', 'UNIVERSITY OF NEW SOUTH WALES (UNSW)']","['High School Diploma', 'Bachelor of Science, BE Bachelor of Engineering (Honours) (Aerospace)']","['2012', '2017']","[None, '79.42']","[None, 'WAM']","['MATHEMATICS, PHYSICS, CHEMISTRY, ENGINEERING', 'Aerospace']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['Feb 2017', 'Feb 2016', 'Aug 2015']","['Apr 2017', 'May 2016', 'Jul 2017']","[['ANSYS', 'SolidWorks', 'CAD', 'Customer Service', 'Sales', 'Time Management'], ['Teaching', 'Mathematics', 'Science', 'English'], ['SolidWorks', 'ANSYS', 'CAD', 'Leadership', 'JIRA']]","['Engineering intern', 'Tutor', 'Mechanical Design Engineer']","['City, State', 'City, State', 'City, State']","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support","['Membership', 'Volunteering']","['BLUEsat (Basic Low Earth Orbit UNSW Experimental Satellite) Group', 'Karabi community & Development Services']","[None, None]","['Engineer', 'Social Support and Youth Services Volunteer']",,,"['Scrum Fundamentals', 'Data Science Fundamentals', 'Oracle']","[None, None, ['SQL']]","https://github.com/mpj, https://leetcode.com/errichto","['N/A', 'N/A', 'N/A']","[None, None, None]",Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.85
,,"['Executive Decision Maker', 'Process Design & Improvement', 'New Product Development', 'Strategic Planning & Development', 'Lean & Six Sigma Practitioner', 'Product Design', 'Budgetary and Policy Development', 'Automation Design', 'Quality Control', 'Project Management & Execution', 'Economic Analysis', 'Ergonomic and Safety Conscious']","['KELLER GRADUATE SCHOOL OF MANAGEMENT, DEVRY UNIVERSITY', 'MINNESOTA STATE UNIVERSITY', 'NORTHWEST IOWA COMMUNITY COLLEGE']","['Master of Business Administration', 'Bachelor of Science', 'Manufacturing Engineering Technology']","['2010', '2004', '1997']","['3.6', '3.5', 'N/A']","['GPA', 'GPA', 'N/A']","['Project & Program Management', 'Political Science', 'Manufacturing Engineering Technology']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None]","['10/2012', '05/2011', '01/2010', '01/2008', '01/2004']","['03/2014', '08/2012', '01/2011', '01/2010', '01/2008']","[['Project Management', 'Design Engineering', 'New Product Development', 'Process Development'], ['Project Management', 'Automation Design', 'Resource Allocation'], ['Productivity Improvement', 'Resource Capability', 'Lean', 'Six Sigma'], ['Process Improvement', 'Product Development', 'Cost Containment'], ['Process Improvement', 'Quality Control', 'Automation Design']]","['Engineering Manager', 'Project Manager', 'Senior Manufacturing Engineer', 'Senior Manufacturing Engineer', 'Manufacturing Engineer']","['Boyden, IA', 'Oshkosh, WI', 'Jackson, MN', 'Spencer, IA', 'Emmetsburg, IA']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",['Robotics Coaching'],['Spencer for STEM'],[None],"['CoFounder, Coach, and Mentor']",,,,,"https://github.com/emmabostian, https://leetcode.com/neetcode",,,Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.576666667
,,"['Microsoft Project', 'Microsoft Office', 'Microsoft Visio', 'IBM Rationale DOORS', 'Communication/Presentations', 'Risk Analysis', 'Process Improvement', 'CMPro', 'Air Force', 'budget', 'Hardware', 'Conflict Management', 'continuous improvement', 'DC', 'delivery', 'DOORS', 'electrical engineering', 'electrical systems', 'Engineer', 'Estimating', 'senior management', 'functional', 'drawing', 'Hardware Design', 'IBM', 'Leadership', 'Team Leadership', 'Leadership Development', 'Materials', 'mechanical', 'mechanical engineering', 'Microsoft Visio', 'Navy', 'peer review', 'power distribution', 'power supplies', 'Presentations', 'Process Improvement', 'procurement', 'producing', 'Project Management', 'Project Planning', 'proposals', 'quality', 'Risk Analysis', 'schematics', 'Siemens', 'software engineering', 'staffing', 'Systems Engineering', 'video']","['Indiana University', 'University of Evansville', 'Villanova University']","['Master of Business Administration', 'Bachelor of Science', 'Project Management Graduate Certificate']","[None, None, None]","[None, None, None]","[None, None, None]","[None, 'Electrical Engineering', None]","['Company Name', 'Company Name', 'Company Name', None]","[None, None, None, None]","['03/2015', '08/2008', '05/2005', '11/2001']","['Current', '03/2015', '08/2008', '05/2005']","[['Leadership', 'Project Management', 'Systems Engineering', 'Process Improvement', 'Risk Analysis', 'Communication/Presentations'], ['Project Management', 'Hardware Solutions', 'Leadership', 'Communication/Presentations', 'Systems Engineering'], ['Electrical Engineering', 'Leadership', 'Cost Savings', 'Process Improvement', 'Project Management'], ['Electrical Systems', 'Design', 'Cost Savings', 'Process Improvement', 'Project Management']]","['Multi-Skilled Engineering Manager', 'Lead Systems Engineer', 'Lead Electrical Engineer', 'Electrical Engineer']","['City, State', 'City, State', 'City, State', None]","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,,,,,,,,"https://github.com/cassidoo, https://leetcode.com/williamfiset",,,HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,Age 18 to 30 years,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",Human Resource Management,0.716666667
,"looking for an opportunity as an engineer or related position which offers key participation, team-oriented tasks, immediate challenges and career opportunities in a reputed organization which will help me deliver my best and upgrade my skills in engineering and meet the demands of the organization. To utilize my technical skills for achieving the target and developing the best performance in the organization. I would like to implement my innovative ideas, skills and creativity for accomplishing projects.","['Know-your-consumer (KYC)', 'Statistical process control', 'Cost reduction and avoidance', 'Systems Engineering', 'Systems Engineering management', 'Software systems engineering', 'Quality control', 'Failure analysis', 'Tools of operations research', 'MS Office', 'Auto CAD', 'inspection', 'Lean manufacturing', 'process control', 'process design', 'simulation', 'system configuration']","['Oklahoma Christian University', 'Sastra University, Tanjore Tamil Nadu']","['Master of Science', 'Bachelor of Technology']","['current', '2016']","['3.6', '6.97']","['GPA', 'GPA']","['Engineering Management', 'Chemical Engineering']","['Company Name', 'Company Name']","[None, None]","['06/2014', 'N/A']","['06/2014', 'N/A']","[['Lean techniques', 'Kaizen Events'], ['extraction', 'Nutraceuticals', 'sub-critical Carbon-di-oxide']]","['Engineering Intern', 'N/A']","['N/A', 'N/A']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,,,,,,,,"https://github.com/beginner-dev, https://leetcode.com/nickwhite",,,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.85
,,"['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns']",['TEMPLE UNIVERSITY'],['Bachelor of Business Administration'],['2002'],[None],[None],['Accounting'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['Mar 2006', 'Jan 2005', 'Aug 2002']","['Current', 'Mar 2006', 'Jan 2005']","[None, None, None]","['Senior Accountant', 'Accountant', 'Financial Analyst']","['City , State', 'City , State', 'City , State']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",['Vice President'],['APS (Accounting Professional Society)'],[None],['Vice President'],,,['New York State'],[None],"https://github.com/yukihiro-matz, https://leetcode.com/beginner_coder",['03/04/2015'],[None],Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,Age 25 to 32 years,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",0.316666667
,"I am a Junior Machine Learning developer who focuses on data improvement and modelling, finding patterns in large databases and optimization of different models.","['Data Analyst', 'Data Analytics', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Clustering', 'MongoDB', 'Flask', 'AWS', 'Git', 'Python', 'Neural Networks', 'PyTorch', 'C++', 'CNN', 'Image Processing']",['JCP COLLEGE OF ENGINEERING AND TECHNOLOGY'],['B.TECH'],['2020'],['N/A'],['N/A'],['ELECTRICAL'],['CAPITUM INDIA'],['N/A'],['APR 2020'],['TILL DATE'],"[[""Evaluating and pre-processing client's credit data"", 'Mine and analyze data', 'Optimization and improvement of product development']]",['JUNIOR MACHINE LEARNING ENGINEER'],['NASIK'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,,,,,,,,"https://github.com/test-account-123, https://leetcode.com/practice2024",,,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.35
,,"['C/Python', 'R', 'STK', 'CATIA', 'ANSYS', 'LaTeX', 'SolidWorks', 'Microsoft Office', 'Microsoft Project']","['NORTMEAD HIGH SCHOOL', 'UNIVERSITY OF NEW SOUTH WALES (UNSW)']","['High School Diploma', 'Bachelor of Science, BE Bachelor of Engineering (Honours) (Aerospace)']","['2012', '2017']","[None, '79.42']","[None, 'WAM']","['MATHEMATICS, PHYSICS, CHEMISTRY, ENGINEERING', 'Aerospace']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['Feb 2017', 'Feb 2016', 'Aug 2015']","['Apr 2017', 'May 2016', 'Jul 2017']","[['ANSYS', 'SolidWorks', 'CAD', 'Customer Service', 'Sales', 'Time Management'], ['Teaching', 'Mathematics', 'Science', 'English'], ['SolidWorks', 'ANSYS', 'CAD', 'Leadership', 'JIRA']]","['Engineering intern', 'Tutor', 'Mechanical Design Engineer']","['City, State', 'City, State', 'City, State']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","['Membership', 'Volunteering']","['BLUEsat (Basic Low Earth Orbit UNSW Experimental Satellite) Group', 'Karabi community & Development Services']","[None, None]","['Engineer', 'Social Support and Youth Services Volunteer']",,,"['Scrum Fundamentals', 'Data Science Fundamentals', 'Oracle']","[None, None, ['SQL']]","https://github.com/getify, https://leetcode.com/tourist","['N/A', 'N/A', 'N/A']","[None, None, None]",Data Engineer,Bachelor of Science (BSc),5 to 8 years,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.783333333
